REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
NORTHEAST,NEW ENGLAND MARKET,Jacqueline Murray,4PB0433A,4PB0433A-NP-SST-Harpswell,David Thomson (DThomso1),Self Support Tower,ON-AIR,2026-03-19,,,,"Gate Combo 2500: Once you first turn on Keri Drive, go straight and then bear right at the split in the road and this will take you to the tower. No Access issues.",,,,,,,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"15 Commerce Way
Norton, MA 02766


Get on I-495 N from S Washington St
7 min (3.1 mi)


Follow I-495 N, I-95 N and I-295 N to ME-24 S/Gurnet Rd in Brunswick. Exit from US-1 N
2 hr 52 min (188 mi)


Continue on ME-24 S. Drive to Keri Dr in Harpswell
9 min (5.2 mi)

Merge onto ME-24 S/Gurnet Rd
 Continue to follow ME-24 S

4.3 mi

Turn left onto Cundy's Harbor Rd

0.6 mi

Turn left onto McPherson Ln

0.1 mi

Turn right onto Keri Dr
0.1 mi

Turn right to stay on Keri Dr
 Destination will be on the right
236 ft
26 Keri Dr
Harpswell, ME 04079",,,,,,,,,,,,,,,,No,
CENTRAL,PITTSBURGH PA,Crown Castle,A4H1952A,State Line,,Self Support Tower,ON-AIR,2026-03-19,500096036,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,OKLAHOMA CITY OK,TEK: Westley Webber / Smartlink: Leticia Zayas,OK02210A,Meridian,Shawn Stanton (SStanto3),Self Support Tower,ON-AIR,2026-03-19,,,,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. ATC site reference number is 89056. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP. Road gate lock combo: . Compound gate lock combo: . Cabinet door lock combo: .",,,,,,,,,,,Yes,,,,,,,,,,,,"From Oklahoma City, OK switch: Head to I-44 W toward Lawton. Stay on I-44 W for several miles, then take exit 108B for US-62 W toward El Reno. Continue on US-62 W and turn right onto Tower Rd. Follow Tower Rd, and you will reach 8750 Tower Rd on your left.",,,,,,,,,,,,,,,,No,
NORTHEAST,NEW YORK NY,Denise Quaglietta,BQ0015ZA,"250 N BOUNDARY RD. JAMAICA, NY 11430",,In Building,ON-AIR,2026-03-18,,,,"Contact Noel Garcia, 410-691-3103 office or 443-871-7501 cell and he will coordinate with USPS.  ngarcia@visiontechnologies.com

USPS on site contact is Susan Belgrave-Hamilton


Laurie Caruso Withee
CEO Safe-Fi Technologies
Mobile: 617-839-6940Email: laurie.caruso@safefitech.com
Mark Connor-609-744-3331 mconnor@visiontech.biz",,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,ST. LOUIS,Angela Pitchford,MO16501A,Harmoni Towers_2716478,,Self Support Tower,ON-AIR,2026-03-18,58630865,200.0,,TBD,,Yes,Cam Lock,50.0,No,,,,,,No,,,,,,,,,,,,"St. Louis Switch: head northwest on Westport Center Dr. Turn left and then right onto Westport Center Dr, following it for 0.4 miles. Continue on MO-364 W and US-61 N for 59.4 miles, then take exit 1B to merge onto I-64 W/US-40 W/US-61 N toward Wentzville. Stay on US-61 N for 32.6 miles and take the exit for State Hwy FF/State Hwy D/Eolia. Take State Hwy D to US-54 E/Mansion St in Louisiana, continuing for 17.1 miles. Turn right onto State Hwy FF, then follow Green St and N Main St to State Hwy D. Turn left on MO-79 N, then right onto US-54 E. After entering Illinois, continue on 265th St, following IL-96 N and IL-106 W for 37.2 miles. Turn right onto South Ave, then continue onto North Ave and E 1700th St. Turn right onto N 400th Ave, then left onto E 2050th St. Finally, turn left onto N 803rd Ln, and your destination will be on the left at 2048 N 803rd Ln.",,,,,,,,,,,,,,,,No,
NORTHEAST,NEW JERSEY NJ,,NJ4007BA,ExteNet Small Cell,Kevon Balfour (KBalfou1),Catenary Structure,ON-AIR,2026-03-18,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NORTHEAST,NEW JERSEY NJ,,NJ4022BA,ExteNet Small Cell,Kevon Balfour (KBalfou1),Catenary Structure,ON-AIR,2026-03-18,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NORTHEAST,NEW ENGLAND MARKET,Jacqueline Murray,4KN0507A,4KN0507A_Everest_MP_Rockingham,Grady Budd (GBudd),Monopole,ON-AIR,2026-03-18,10920863,200.0,,"Site Contact: Michael Ashley Culbert michael.culbert@everestinfrastructure.com 781-820-9120

Everest has an iLoq installed at this location, access requests shall be requested via: siteaccess@everestinfrastructure.com; after which iLoq instructions will be provided. 

Access Road doesn't require 4x4 or ATV unless inclement weather.",,,,,,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"15 Commerce Way
Norton, MA 02766


Get on I-495 N from S Washington St
7 min (3.1 mi)


Follow I-495 N to MA-117 W in Bolton. Take exit 70 from I-495 N
38 min (42.9 mi)


Get on I-190 N in Leominster
14 min (8.4 mi)


Take MA-2 W to MA-140 N in Westminster. Take exit 90B from MA-2 W
14 min (14.1 mi)

Merge onto MA-140 N

11 min (9.4 mi)


Drive from School St, NH-12 N and I-91 N/Interstate 91 N to Town of Rockingham. Take exit 6 from I-91 N/Interstate 91 N
1 hr 4 min (49.4 mi)


Continue on Rockingham Rd to your destination
9 min (5.5 mi)

Turn left onto US-5 N/Rockingham Rd
 Continue to follow Rockingham Rd

4.1 mi

Turn right onto Brockway Mls Rd

0.4 mi

Turn left onto Williams Rd

325 ft

Turn right onto Gaskill Rd/Town Hwy 16
 Parts of this road may be closed at certain times or days

0.8 mi

Turn left
 Destination will be on the left
0.2 mi
160 Gaskill Rd
Chester, VT 05143",,,,,,,,,,,,,,,,No,
NORTHEAST,CONNECTICUT,Jacqueline Johnson,CTHA378A,"CTHA378A_Valley Shore Emergency Communications, In",Brian Stober (BStober1),Self Support Tower,ON-AIR,2026-03-18,03 793 969,200.0,,"Site is located behind the Killingworth Vol. Fire Dept
24X7=YES
Combo=6664
BStober1 3/2026",,Yes,Cam Lock,50.0,No,6664,,6664,,6664,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Pull around the back of the Fire Dept.
Gate is on the left side of the tower around the back.
Generac AC Gen also on site
6160-B160",,,,,,,,,,,,,,,,No,
NORTHEAST,VIRGINIA,Charmange Stevens,VA71916A,VA03251-S,,Monopole,ON-AIR,2026-03-18,292 540 214,,,"Site Access Requirements:  24 / 7
Structure Owner POC:  Amy Pena
Cell Phone Number:  805-708-7337
Office Phone Number:  N/A
E-Mail Address:  apena@sbasite.com
Structure Owner NOC:  800-487-7483
Site Access Requirements:  TBD
24 / 7 Access:  Yes
If No, provide hours of Access:  N/A
Gate Lock Access:  Yes
If Yes, provide all lock combinations to include Compound and Access Gates:  4722
Special Access Instructions:  Access instructions to be determined.",,,,,,,,,,,No,,,,,,,,,,,,"Head toward W Freemason St on Madison Mews.
Turn right onto W Freemason St.-0.3 mi.
Turn right onto St Paul's Blvd (US-460-ALT W)- 0.1 mi.
Turn left onto US-460-ALT W- 0.3 mi.
Continue on I-264 W- 7.5 mi.
Take the exit toward I-664/US-13/US-58/Bowers Hill/US-460/Suffolk/Richmond onto I-664 N- 1.2 mi.
Take exit 13A toward Suffolk onto US-13 S/US-58 W/US-460 W- 11.3 mi.
Take ramp onto Pruden Blvd (US-460 W) toward PETERSBURG- 53.8 mi.
Take ramp onto I-95 N toward I-85 S/Richmond/US-460 W/South Hill- 3.5 mi.
Take exit 54 toward VA-144/Temple Ave- 0.6 mi.
Keep left toward VA-144 N/Temple Ave. Go for 220 ft.
Take the 2nd exit from roundabout onto Temple Ave (VA-144 W) toward VA-144 N-0.5 mi.
Turn left onto Boulevard (US-1/US-301)-0.3 mi.
Turn right onto Branders Bridge Rd-1.4 mi.
Turn left onto Lakeview Rd (VA-626)-0.6 mi.
Continue on Woodpecker Rd (VA-626)-1.6 mi.
Turn right onto Woodpecker Rd (VA-626)-2.8 mi.
Turn left onto Reedy Branch Rd-1.5 mi.
Arrive at location",,,,,,,,,,,,,,,,No,
CENTRAL,ST. LOUIS,TEK: Westley Webber / Smartlink: Leticia Zayas,MO12858A,Zalma ATC,,Self Support Tower,ON-AIR,2026-03-18,,,,ATC 2055,,,,,,,,,,,Yes,,,,,,,,,,,,"STL Switch: From 2004 Westport Center Dr, head northwest, turn left, then right onto Westport Center Dr. Turn left onto State Hwy D/Page Ave and continue onto MO-364 W. Take exit 20A to merge onto I-270 S, then exit 1A onto I-55 S toward Memphis. Take exit 174B to merge onto US-67 S. Stay on US-67 S for about 130 miles total. Self-Support Tower.",,,,,,,,,,,,,,,,No,
SOUTH,ATLANTA,Kristi Anderson,9AT5601A,9AT5601A,Clint James (CJames67),Self Support Tower,ON-AIR,2026-03-18,,,,"City Switch
Site ID: GAC015
Gate Code: 1900
NOC:",,,,,,1900,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-285 E in Brookhaven
3 min (1.1 mi)

Head southwest on Ravinia Pkwy NE toward Ravinia Dr

302 ft

Turn left onto Ashford Dunwoody Rd

0.3 mi

Use the left 2 lanes to turn slightly left to merge onto I-285 E toward Augusta

0.7 mi


Continue on I-285 E. Take I-75 S to GA-32 E in Turner County. Take exit 78 from I-75 S
2 hr 35 min (178 mi)

Merge onto I-285 E

23.0 mi

Use the right 2 lanes to take exit 52 for I-675 S toward Macon

1.0 mi

Continue onto I-675 S

9.2 mi
Use any lane to merge onto I-75 S

50.5 mi

Keep right to continue on I-475 S, follow signs for Bypass to I-75 South Valdosta

16.1 mi

Merge onto I-75 S

77.6 mi

Take exit 78 for GA-32 E toward Ocilla

0.2 mi


Drive to GA-32 E in Wray
35 min (30.9 mi)

Turn left onto GA-32 E

16.3 mi

Slight right to stay on GA-32 E

7.5 mi

Continue straight onto GA-32 E/E 4th St
 Continue to follow GA-32 E
 Destination will be on the left

7.2 mi",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,Tonya Sykes-McClure,5RR0067A,VB NC-3040,Desi Boyce (DBoyce4),Self Support Tower,ON-AIR,2026-03-18,,200.0,,,Security Escort Required,Yes,Cam Lock,50.0,No,,,,,,No,,,,,,,,,,,,"Head east. Go for 177 ft.

Then 0.03 miles

Turn right toward Water Ridge Pkwy. Go for 292 ft.

Then 0.06 miles

Turn left onto Water Ridge Pkwy. Go for 489 ft.

Then 0.09 miles

Turn right onto Yorkmont Rd. Go for 0.2 mi.

Then 0.2 miles

Turn left onto W Tyvola Rd. Go for 0.4 mi.

Then 0.4 miles

Take ramp onto Billy Graham Pkwy toward Billy Graham Parkway N./CLT Airport. Go for 3.4 mi.

Then 3.4 miles

Turn slightly right onto Billy Graham Pkwy toward I-85 S. Go for 387 ft.

Then 0.07 miles

Turn right and take ramp onto I-85 N. Go for 131 mi.

Then 130.6 miles

Keep left onto I-85 N toward I-85/Durham. Go for 60.8 mi.

Then 60.8 miles

Take exit 223 toward Manson Rd. Go for 0.2 mi.

Then 0.2 miles

Turn right onto Manson-Drewry Rd toward Manson. Go for 0.9 mi.

Then 0.9 miles

Continue on US Highway 1 S (US-1/US-158). Go for 5.1 mi.

Then 5.1 miles

Turn right onto US Highway 158 401 S (US-158/US-401). Go for 1.1 mi.

Then 1.1 miles

Keep left onto US Highway 158 Bus W (US-158/US-401). Go for 5.1 mi.

Then 5.1 miles

Turn slightly left onto US Highway 158 E (US-158). Go for 10.6 mi.

Then 10.6 miles

Continue on W South Main St. Go for 0.6 mi.

Then 0.6 miles

Continue on US-158 (NC-903). Go for 19.0 mi.

Then 19.0 miles

Keep left onto US-158 E. Go for 253 ft.

Then 0.05 miles

Turn left onto US Highway 301 (US-158 E/US-301 N). Go for 174 ft.

Then 0.03 miles

Keep right onto US Highway 301 (US-158 E/US-301 N). Go for 2.3 mi.

Then 2.3 miles

Keep right onto US Highway 158 (US-158). Go for 9.9 mi.

Then 9.9 miles

Turn left onto N Church St. Go for 0.6 mi.

Then 0.6 miles

Continue on NC Highway 305 (NC-305). Go for 1.0 mi.

Then 1.0 miles

Turn left onto Landfill Rd. Go for 0.5 mi.

Then 0.5 miles


9495 NC Highway 305

Jackson, NC 27845-9807",,,,,,,,,,,,,,,,No,
SOUTH,HOUSTON TX,Quin Freeman,A3L0183A,A3L0183A- Powell-TX-09841,,Self Support Tower,ON-AIR,2026-03-18,1345079-004,200.0,,"Get on I-45 N
1 min (0.3 mi)
Take US-59 N and TX-103 E to TX-184 E in Bronson
2 hr 36 min (166 mi)
Follow TX-184 E to Bronson Rd",,Yes,Cam Lock,25.0,No,,,,,,No,,,,,,,,,,,,"Head east on N Sam Houston Pkwy E/ Texas 8 Beltway Frontage Rd toward Vickery Dr,Keep left to continue on N Sam Houston Pkwy E/ Texas 8 Beltway Frontage Rd E,Turn left onto Eastex Freeway Feeder Rd,Slight left to merge onto I-69,Continue onto US-59 N,Slight right onto Diboll Relief Rte,Continue onto US-59 N,Slight right to merge onto TX-287 Loop E/ US-59 N/S Medford Dr toward Nacogdoches,Turn right onto Paul Ave,Turn right onto TX-103 E,Merge onto US-96 S via the ramp to San Augustine/ Bronson,Turn left onto TX-184 E,Turn left to stay on TX-184 E,Continue straight onto Bronson Rd Destination will be on the right",,,,,,,,,,,,,,,,No,
CENTRAL,LOUISVILLE,,9LV3015A,Vertical Bridge-Hardyville,Scotlan Hutcherson (SHUTCHERSON),Self Support Tower,ON-AIR,2026-03-18,M#46779177,200.0,,"*********************
Lease Access Details
*********************
Vertical Bridge Sites:
This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 or email aton.noc@spx.com. VB site reference number is US-KY-5291. Please verify all codes/combos and special instructions to get access.  If issue, call NOC to verify info or open ticket. Get NTP from VB if needing tower climb. 

*************************
Additional Access Details
*************************
Coordinates take you directly to site -24/7 Access - Gate code: 0951 or 1280- When on site, call VB NOC for access ticket. Phone number is on site signage",,,Cam Lock,60.0,,0951 or 1280,0951 or 1280,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Coordinates take you directly to site - Directions from T-Mobile Office:  

 

Head toward Linbar Dr. Go for 56 ft. 

Turn left onto Ezell Rd. Go for 0.3 mi. 

Turn left onto Haywood Ln. Go for 0.3 mi. 

Take ramp onto I-24 W. Go for 3.4 mi. 

Take exit 54 onto TN-155 E (Briley Pkwy). Go for 11.9 mi. 

Continue on US-31E S (Briley Pkwy). Go for 0.3 mi. 

Take exit 15 toward Ellington Pky/US-31E S/Briarville Rd/Louisville onto I-65 N. Go for 31.9 mi. 

Continue on I-65 N. Go for 57.6 mi. 

Take exit 58 toward KY-218/Horse Cave/KY-335. Go for 0.3 mi. 

Turn right onto Hidden River Rd (KY-218) toward US-31W. Go for 1.6 mi. 

Continue on W Main St (KY-218). Go for 2.4 mi. 

Continue on Charlie Moran Hwy (KY-218). Go for 2.2 mi. 

Continue on Legrande Hwy (KY-218). Go for 3.5 mi. 

Turn slightly left onto Hundred Acre Pond Rd (KY-436). Go for 3.2 mi. 

2510 Hundred Acre Pond Rd 

Hardyville, KY 42746-8308",,,,,,,,,,,,,,,,No,
